date,close
1984-09-07,0.0992653
1984-09-10,0.098676
1984-09-11,0.100484
1984-09-12,0.0974581
1984-09-13,0.10288
1984-09-14,0.104363
1984-09-17,0.107073
1984-09-18,0.103173
1984-09-19,0.101071
1984-09-20,0.101368
1984-09-21,0.100484
1984-09-24,0.0995698
1984-09-25,0.0974581
1984-09-26,0.0962794
1984-09-27,0.0962794
1984-09-28,0.0938731
1984-10-01,0.0917714
1984-10-02,0.0923707
1984-10-03,0.0938731
1984-10-04,0.0950518
1984-10-05,0.0929793
1984-10-08,0.0929793
1984-10-09,0.0920757
1984-10-10,0.0893652
1984-10-11,0.0887757
1984-10-12,0.0848669
1984-10-15,0.0896599
1984-10-16,0.0893652
1984-10-17,0.0929793
1984-10-18,0.0956707
1984-10-19,0.0956707
1984-10-22,0.0950518
1984-10-23,0.0971633
1984-10-24,0.0980668
1984-10-25,0.0944821
1984-10-26,0.0920757
1984-10-29,0.0923707
1984-10-30,0.0935884
1984-10-31,0.0929793
1984-11-01,0.0935884
1984-11-02,0.0929793
1984-11-05,0.0923707
1984-11-06,0.0980668
1984-11-07,0.0962794
1984-11-08,0.0923707
1984-11-09,0.0869883
1984-11-12,0.0899741
1984-11-13,0.087892
1984-11-14,0.0887757
1984-11-15,0.0887757
1984-11-16,0.0869883
1984-11-19,0.0818714
1984-11-20,0.0845623
1984-11-21,0.0863893
1984-11-23,0.0887757
1984-11-26,0.0896599
1984-11-27,0.0920757
1984-11-28,0.0968786
1984-11-29,0.0950518
1984-11-30,0.0923707
1984-12-03,0.0911623
1984-12-04,0.0929793
1984-12-05,0.0974581
1984-12-06,0.102271
1984-12-07,0.101955
1984-12-10,0.0998857
1984-12-11,0.098676
1984-12-12,0.0953661
1984-12-13,0.0962794
1984-12-14,0.098676
1984-12-17,0.101071
1984-12-18,0.107073
1984-12-19,0.10288
1984-12-20,0.102271
1984-12-21,0.101071
1984-12-24,0.10288
1984-12-26,0.103173
1984-12-27,0.103772
1984-12-28,0.107367
1984-12-31,0.10887
1985-01-02,0.104363
1985-01-03,0.106168
1985-01-04,0.106168
1985-01-07,0.105571
1985-01-08,0.104656
1985-01-09,0.107367
1985-01-10,0.112161
1985-01-11,0.111267
1985-01-14,0.114253
1985-01-15,0.112161
1985-01-16,0.113095
1985-01-17,0.104962
1985-01-18,0.107073
1985-01-21,0.109471
1985-01-22,0.112464
1985-01-23,0.11066
1985-01-24,0.108567
1985-01-25,0.11066
1985-01-28,0.113095
1985-01-29,0.111846
1985-01-30,0.111846
1985-01-31,0.108567
1985-02-01,0.107073
1985-02-04,0.109471
1985-02-05,0.11007
1985-02-06,0.112161
1985-02-07,0.111846
1985-02-08,0.111846
1985-02-11,0.113986
1985-02-12,0.111267
